SMILES,DC_exp
COC(=O)c1ccc(C)cc1,4.3
COC(=O)c1ccccc1,6.642
COC(=O)c1ccccc1C(=O)OC,8.66
COC(=O)c1ccccc1O,9.466857546990502
COC(=O)c1ccccc1OC,7.7
COC(C)=O,6.861468100000001
COC(OC)(OC)OC,2.4
COC=O,8.837693650000002
COCCO,17.10756115922503
COCCOC,7.2169264849249934
COCCOCCOC,7.235945150000001
COCCOCCOCCOC,7.62
COCCOCCOCCOCCOC,7.68
COCOC,2.644
COc1c(C)cccc1C,3.738351241917501
COc1cc(C)cc(C)c1,3.6820572916165
COc1ccc(C)cc1,3.8736290625
COc1ccc(C=O)cc1,22.0
COc1cccc(C)c1,3.916748013252499
COc1cccc(O)c1,11.562843064050004
COc1cccc(OC)c1,5.361855123167499
COc1cccc2ccccc12,3.986834859375001
COc1ccccc1,4.224685105252501
COc1ccccc1C,3.4790923424247495
COc1ccccc1O,11.947261901642502
COc1ccccc1OC,4.4062219273825
Cc1cc(C)cc(C)c1,2.2650060874525
Cc1ccc(C(C)C)cc1,2.2306504647692504
Cc1ccc(C)c(C)c1,2.3653404333835
Cc1ccc(C)c(C)c1C,2.5348628058187503
Cc1ccc(C)cc1,2.270514077125
Cc1ccc(O)c(C)c1,5.06
Cc1ccc(O)cc1,12.604322581275008
Cc1ccc2c(C)cccc2c1,2.725
Cc1cccc(C)c1,2.3477656199247496
Cc1cccc(C)c1C,2.6335688525850007
Cc1cccc(C)c1O,5.101222449807501
Cc1cccc(O)c1,12.696140524550003
Cc1cccc2ccccc12,2.89904946875
Cc1ccccc1,2.37413529743825
Cc1ccccc1C,2.5454158883835
Cc1ccccc1O,6.718764344275001
Cc1ccco1,2.76
O=C(CO)c1ccccc1,21.332073780883505
O=C(O)C1CCCCC1,2.67
O=C(O)CCO,30.0
O=C(OCc1ccccc1)c1ccccc1,5.26
O=C(OCc1ccccc1)c1ccccc1O,4.12
O=C(Oc1ccc2ccccc2c1)c1ccccc1O,6.231990669127001
O=C(Oc1ccccc1)c1ccccc1O,6.741408904500005
O=C(c1ccccc1)c1ccccc1,12.62
O=C1CCC1,14.253100910399992
O=C1CCCC1,13.58
O=C1CCCCC1,15.618617983815003
O=C1CCCCCC1,13.16
O=C1CCCCCCCCCCC1,11.4
O=C1CCCO1,39.0
O=C1OCCO1,95.32578500000002
O=C=O,1.4282863745250003
O=CC=Cc1ccccc1,17.72
O=CO,51.591339607025006
O=COC1CCCCC1,6.47
O=COCc1ccccc1,6.34
O=Cc1ccccc1,17.85
O=Cc1ccccc1O,18.006262348974996
O=Cc1ccco1,42.1
OC1CCCC1,16.989386585825024
OC1CCCCC1,15.913893667350017
OC1CCc2ccccc2C1,11.079907148800013
OCC(O)C(O)C(O)CO,40.0
OCC(O)CO,45.637467262925
