SMILES,name,tc_0C_W_mK,tc_10C_W_mK,tc_20C_W_mK,tc_30C_W_mK,tc_40C_W_mK,tc_50C_W_mK,tc_60C_W_mK,tc_70C_W_mK,tc_80C_W_mK,tc_90C_W_mK,tc_100C_W_mK
CCOC(=O)c1ccccc1O,ethyl 2-hydroxybenzoate,0.158263,0.15646793,0.15469812,0.152955255,0.15124076,0.149553265,0.147893085,0.14626059,0.144655095,0.1430766,0.141522
COc1ccc(CC(=O)O)cc1,(4-methoxyphenyl)ethanoic acid,0.172326,0.170555805,0.16881194,0.167095815,0.165404375,0.163735675,0.16208666,0.160455385,0.15883848,0.1572336299999999,0.155638
CCCCCCC(F)=C(F)F,"1,1,2-trifluoro-1-octene",0.0967002,0.095271608,0.0938291379999999,0.0923674395,0.090882581,0.0893706255,0.087827647,0.0862495715,0.084632536,0.0829725405,0.0812712
c1ccc2c(c1)Cc1ccccc1-2,fluorene,0.204237,0.20214621,0.20009218,0.19807615,0.196096545,0.194148995,0.19223113,0.19034069,0.188473935,0.18662892,0.184801
Cc1ccc2c(c1)-c1ccccc1-2,2-methylbiphenylene,0.254115,0.252235745,0.25035969,0.24848632,0.246614005,0.244740375,0.24286443,0.240984855,0.23909965,0.23720713,0.235308
C1=Cc2ccc3ccccc3c2C1,1H-benz[e]indene,0.232378,0.230615285,0.228854915,0.227095915,0.2253366,0.223575655,0.221811395,0.220042505,0.2182673,0.21648415,0.214693
C1=Cc2cc3ccccc3cc2C1,1H-Benz[f]indene,0.233784,0.231978055,0.230176,0.228376315,0.22657763,0.224778685,0.222976425,0.221170165,0.219358645,0.21753881,0.215711
Cc1cccc2c1-c1ccccc1-2,1-methylbiphenylene,0.253418,0.251549525,0.249685155,0.247822785,0.24596147,0.24409884,0.24223358,0.24036432,0.2384898,0.236607595,0.234719
O=C1CCCC2C(=O)CCCC12,"trans-1,5-decalindione",0.194299,0.191519995,0.1888204,0.186205915,0.183670855,0.181210535,0.17882001,0.176493225,0.17422555,0.172011615,0.169842
CCCc1ccc(O)c(OC)c1,"phenol, 2-methoxy-4-propyl-",0.145951,0.14459664,0.14325768,0.14193535,0.14063039,0.139341745,0.1380701,0.136815455,0.135577495,0.134356165,0.13315
Cc1ccc(C(C)C)c(O)c1O,"catechol, 3-isopropyl-6-methyl-",0.143122,0.141475605,0.139850165,0.138248725,0.1366716,0.135118845,0.133589405,0.132083965,0.13060221,0.12914377,0.127706
CCOC(=O)C1CC2C=CC1C2,"bicyclo[2.2.1]hept-5-ene-2-carboxylic acid, ethyl ester",0.141625,0.140169045,0.13871047,0.137246265,0.13577443,0.134292965,0.13279987,0.13129283,0.12976916,0.128226545,0.126665
OCCCOCc1ccccc1,benzyl 3-hydroxypropyl ether,0.179871,0.177825495,0.175808575,0.17382334,0.171869105,0.16994587,0.168053635,0.1661924,0.16436185,0.1625613,0.160788
CC(C)(C)c1ccc(O)c(O)c1,"benzene, 1,2-dihydroxyl-4-tert-butyl-",0.146086,0.144381965,0.14270084,0.141044715,0.139413275,0.13780615,0.13622371,0.13466527,0.133131145,0.131621705,0.130134
CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2=O,"(1R)-1,7,7-trimethylbicyclo[2.2.1]heptane-2,3-dione",0.156048,0.15458121,0.153114895,0.151647265,0.150177005,0.148701485,0.14721828,0.145726815,0.14422372,0.14270731,0.141177
