SMILES,name,FOM1_0C,FOM1_10C,FOM1_20C,FOM1_30C,FOM1_40C,FOM1_50C,FOM1_60C,FOM1_70C,FOM1_80C,FOM1_90C,FOM1_100C
CCCCCCCCCCCCCC(C)(C)CC(=O)O,"3,3-dimethylhexadecanoic acid",20.06124219749189,22.381054863524184,24.92051971763592,27.538929093780805,30.2231495711244,32.96020449817321,35.73761851614141,38.543168529777695,41.36531383776687,44.19233816882314,47.10785321506141
CCCCCCCCCCCCCC(CCC)C(=O)O,2-propylpentadecanoic acid,26.2604904210292,28.87364275234889,31.676286306738895,34.52684544983117,37.41171993178837,40.31795847680622,43.23341263373653,46.14533841730244,49.04418971444138,51.91988752853698,54.84562013473442
CCCCCCCCCCCCC(CCC)CC(=O)O,3-propylpentadecanoic acid,25.936249980298015,28.52318499522277,31.30369638042809,34.13748133782664,37.009209794748635,39.90533439342021,42.81182552083226,45.71734181589769,48.609432113898215,51.477273421282376,54.39622900164959
CCCCC(CC)CC(CC(CC)CCCC)C(=O)O,4-ethyl-2-(2-ethylhexyl)octanoic acid,25.757495702197875,28.29985544047412,31.022185255523183,33.78788036844137,36.58378714996498,39.39673577961504,42.215739386707405,45.028439454491085,47.82475513305547,50.59358599231635,53.406564466707074
CCCCCCC(C)CCCC(CCCCC)C(=O)O,6-methyl-2-pentyldodecanoic acid,25.92091568037851,28.492740386740145,31.252235772544612,34.059651515732234,36.90027063135992,39.76068020257625,42.62717901237425,45.48845420530623,48.33275028779127,51.14812720760804,54.01079347513993
CCCCCCCCCCCCCC(C)C(=O)OCC,ethyl 2-methylpentadecanoate,43.3039007649628,46.781379892854574,50.40818503923997,54.01463107040305,57.589290336807785,61.11775394578949,64.58374189595237,67.98176591460759,71.29963387806488,74.52510920633951,77.74303780032892
CCCCCCCCCCCCCCCC(=O)OCC,ethyl hexadecanoate,50.214799704315425,55.10963938766453,59.88748067065764,64.2819746864457,68.34834722522348,72.12775240779844,75.64903297849654,78.93630364223256,82.01906882774074,84.91059089023639,87.70013947323223
CCCCCCC(C)CCCCCCCCC(=O)OC,methyl 10-methylhexadecanoate,41.2053414872627,44.32285922757217,47.56153852171976,50.78657355466915,53.98308178725328,57.14235888260133,60.24321308858422,63.28298248147077,66.24890881628083,69.13544746212442,72.00242930684246
CCCCCCCC(C)(CCCCCCC)C(=O)OC,methyl 2-heptyl-2-methylnonanoate,31.41663883400288,34.347187592007344,37.46123842922265,40.60505778301243,43.76308354404626,46.92070396992007,50.06571874239032,53.18350066288182,56.265437441031274,59.29681317635888,62.35873676621745
CCCCCCCCCCOC(=O)CCCCCCC,decyl caprylate,53.14300965613201,57.013806779001335,60.936880154999585,64.72854089709367,68.38386896883048,71.90472153031808,75.28313135314164,78.52704813591579,81.61881780057232,84.58213923409747,87.46514288470813
CCCCCCCCCCCCOC(=O)CCCCC,dodecyl hexanoate,48.94038865241228,53.05509147385949,57.1234074734631,60.93014077681924,64.49488608983056,67.83463153466738,70.97281096575036,73.92646643456317,76.71558123206202,79.3534351422739,81.90763472688775
CCCCCCCC(CCCCCCC)C(=O)OCC,ethyl 2-heptylnonanoate,43.058831152854225,46.48599311769893,50.05677769600674,53.61139948598545,57.1337503007252,60.607582255072586,64.02641612891051,67.37727190586016,70.64477945885696,73.8294002466449,76.99805568320826
CCCCCCCCCCC(=O)OCCCCCCC,heptyl undecanoate,48.92907439778805,52.44907438206929,56.01964951530511,59.481495054861306,62.82483887479579,66.04961532119023,69.15360814244266,72.13254999151981,74.97982516692961,77.70929861801615,80.37405807526525
CCCCCCCCCCCCCCCCOC(C)=O,hexadecyl ethanoate,49.24896356388653,53.11123784484199,57.01134867045608,60.75373848023896,64.33397007767013,67.76018347023391,71.0271201386759,74.14416496491633,77.11175194961523,79.93824757755604,82.67901553400145
CCCCCCCCCCCC(=O)OCCCCCC,hexyl dodecanoate,54.10299442034074,58.597514124065555,63.04546750069206,67.213091506651,71.12370861322023,74.7918592260756,78.24997586192835,81.50278206486364,84.58220762193683,87.48615091846146,90.3138434247737
CCCCCCCCCC(CCCCC)C(=O)OCC,ethyl 2-pentylundecanoate,43.01568373133146,46.43225650716157,49.992956132746826,53.53582000458054,57.04873860792363,60.51406819287105,63.92290314470044,67.26302393299423,70.52432745822479,73.70007456750366,76.85899042596411
CCCCCCCCC(CCCCCC)C(=O)OCC,ethyl 2-hexyldecanoate,42.98611763970606,46.43683689602745,50.03015294534169,53.599523967110045,57.133812880058706,60.61522475127164,64.03852228759375,67.38406281951802,70.65525966977887,73.83158879974003,76.99192146735264
CCCCCCCCCCCCCCCOC(=O)CC,pentadecyl propanoate,53.85882445490715,57.70945395996141,61.61733150489298,65.404517051991,69.06261959601768,72.59112705458834,75.98659276218844,79.25126905182323,82.37378467054036,85.35897977753206,88.2720440953879
CCCCCC(CCCCC(CC)CCCC)C(=O)O,7-ethyl-2-pentylundecanoic acid,25.998919721303313,28.578596033467768,31.34639966729085,34.16219495747682,37.01185692449901,39.88069805903976,42.75586583495453,45.62533052308214,48.47812812528903,51.30333302884015,54.17422390646036
CCCCCCCCCCCCCCOC(=O)CCC,tetradecyl butanoate,53.14300965613201,57.013806779001335,60.936880154999585,64.72854089709367,68.38386896883048,71.90472153031808,75.28313135314164,78.52704813591579,81.61881780057232,84.58213923409747,87.46514288470813
CCCCCCCCCC(CCCCC)COC(C)=O,2-pentylundecyl ethanoate,39.86114851160011,43.06295082235105,46.40123267380368,49.72362757256528,53.01343153914125,56.26215313272864,59.45686506244307,62.5825619560398,65.63898007097916,68.6122844684285,71.57154762528464
CCCCCCCCCCC(CCCC)C(=O)OCC,ethyl 2-butyldodecanoate,43.00719688897503,46.422185611674585,49.98166099217454,53.52342156533798,57.03253636833985,60.49623386194077,63.90522161964669,67.24421416652545,70.50291697711931,73.67430756954597,76.83540685124835
CCCCCCCCCC(C)OC(=O)CCCCCC,1-methyldecyl heptanoate,41.373034743301574,44.681604022817226,48.12960541489495,51.556003425643105,54.95015714470846,58.2944908678811,61.58225743036469,64.79831894812541,67.93589507510289,70.99007734512193,74.02837335460991
CCCCCCCCCCCCCC(=O)OC(C)(C)C,"myristic acid, tert-butyl ester",30.544326642535136,33.39930033357095,36.4303233987002,39.484992141674674,42.54852944641349,45.606377839703995,48.646869947581344,51.65794086335168,54.62707185930934,57.54399574714709,60.48342200530299
CCCCCCCCCCCC(=O)OC(C)CCCC,1-methylpentyl dodecanoate,41.21464993116098,44.50925007866677,47.94311217275655,51.35748278533475,54.7384215966281,58.07351281349157,61.349588947957805,64.55757718696762,67.68991233325197,70.73202375906726,73.76863912455893
CCCCCCCCCCCCCC(=O)OC(C)CC,1-methylpropyl tetradecanoate,41.30651671535179,44.60953935591508,48.05196370146811,51.474079955089536,54.86252968106813,58.20335547974074,61.48674116436276,64.70075274183458,67.8360092793038,70.88126856083451,73.9215881102559
CCCCCCC(O)CC=CCCCCCCCCO,12-hydroxy-cis-9-octadecenol,20.416691055570748,23.00099868860368,25.791999950668007,28.59548360292042,31.40029565389949,34.19759808941946,36.981112789722346,39.74549998944675,42.48688616336699,45.20168966220894,47.98185839054531
CCC(C)CCCCCCCCCCCCCC(=O)O,15-methylheptadecanoic acid,26.97876279989836,29.69110355094843,32.605204020492614,35.57036011678286,38.57143541038399,41.59358582557968,44.62384951740737,47.650106059429106,50.6598718997469,53.6422655096396,56.6763309563551
CC(C)CCCCCCCCCCCCCCC(=O)O,16-methylheptadecanoic acid,27.17958656522468,29.884189827915208,32.785165010006104,35.73447160868971,38.717894018562234,41.722687049527906,44.73537056040783,47.74611549244951,50.74039452454894,53.711412593650515,56.735736950631086
CCCCCCCCCCC(CCCC)COC(C)=O,2-butyldodecyl ethanoate,41.06456506119855,44.342530117614814,47.760005742567856,51.159834011347215,54.52647999494027,57.8467708528471,61.11307324324118,64.31336562845432,67.43575689883046,70.47470357009591,73.50433727954865
CCCCCCCCCCCCC(CCCC)C(=O)O,2-butyltetradecanoic acid,26.18902317943077,28.796168147163986,31.59260428853387,34.436717156610555,37.31512076568576,40.21501296387084,43.12372862849509,46.02943280299501,48.92152410388833,51.790676615808565,54.70994382312911
CCCCCCCCCCCCCCC(CC)C(=O)O,2-ethylhexadecanoic acid,26.229043170597706,28.84012868880252,31.64089267667061,34.48935587956087,37.37199757839939,40.27644736586086,43.18952206980144,46.09976631160953,48.99695911250101,51.87016751977774,54.79279202993644
CCCCCCCCCCCCC(CC)COC(C)=O,2-ethyltetradecyl ethanoate,41.175388649354,44.46523193669102,47.894859784806734,51.3042918016463,54.682347863891216,58.01441697874989,61.28777173441715,64.49453727505617,67.62412809833317,70.67312556486142,73.70440078850822
