SMILES,name,kv_0C_cSt,kv_10C_cSt,kv_20C_cSt,kv_30C_cSt,kv_40C_cSt,kv_50C_cSt,kv_60C_cSt,kv_70C_cSt,kv_80C_cSt,kv_90C_cSt,kv_100C_cSt
FC(C(F)(F)F)C(F)(F)F,2-hydroheptafluoropropane,0.227,0.203,0.182,0.164,0.147,0.132,0.119,0.106,0.094,0.081,0.066
FC(F)(F)SC(F)(F)F,"methane, thiobis[trifluoro-",0.148,0.137,0.128,0.121,0.116,0.111,0.108,0.106,0.106,0.109,0.121
CCCC(=O)OCC(F)(F)F,"butanoic acid, 2,2,2-trifluoroethyl ester",1.429,1.175,0.976,0.824,0.705,0.612,0.536,0.475,0.425,0.383,0.347
CCCCOC(=O)C(F)(F)F,"ethanoic acid, trifluoro-, butyl ester",1.128,0.932,0.779,0.662,0.57,0.496,0.437,0.389,0.35,0.317,0.289
CCOC(=O)C#CC(=O)OCC,diethyl acetylenedicarboxylate,9.723,7.302,5.544,4.3,3.4,2.734,2.233,1.849,1.551,1.315,1.123
CCOc1c(OCC)c(=O)c1=O,"3,4-diethoxy-cyclobut-3-ene-1,2-dione",17.851,12.799,9.224,6.782,5.084,3.881,3.015,2.38,1.908,1.551,1.271
COC(=O)/C=C/C=C/C(=O)OC,"2,4-hexadienedioic acid, dimethyl ester, (E,E)-",3.466,2.858,2.373,1.993,1.692,1.451,1.255,1.095,0.962,0.852,0.758
Oc1ccc(-c2ccccc2)cc1,p-hydroxybiphenyl,349.14,199.64,117.592,73.875,48.953,33.915,24.391,18.106,13.808,10.776,8.52
CC1NC(=O)C(C(C)C)NC1=O,"3-methyl-6-(1-methylethyl)-2,5-piperazinedione",18949.952,7360.424,2927.961,1321.063,661.242,360.746,211.484,131.706,86.323,59.091,41.391
c1ccc(Oc2ccccc2)cc1,diphenyl ether,7.514,5.349,3.954,3.057,2.445,2.009,1.686,1.441,1.249,1.096,0.97
Oc1ccccc1-c1ccccc1,"2-hydroxy-1,1'-biphenyl",90.191,62.078,43.185,30.894,22.661,17.0,13.015,10.148,8.045,6.475,5.255
CC(=O)c1ccc2ccccc2c1,2-acetylnaphthalene,53.526,38.11,27.415,20.214,15.238,11.719,9.176,7.304,5.901,4.833,3.988
CC(=O)c1cccc2ccccc12,1-acetylnaphthalene,47.031,34.133,24.965,18.648,14.2,11.008,8.673,6.938,5.627,4.623,3.825
OC1Cc2cccc3cccc1c23,1-acenaphthenol,223.889,129.088,76.395,48.042,31.796,21.974,15.757,11.663,8.871,6.91,5.457
COC(=O)C1CCC(C)=C1OC,2-methoxy-3-methyl-2-cyclopentene-1-carboxylic acid methyl ester,2.667,2.141,1.735,1.43,1.195,1.012,0.867,0.751,0.657,0.579,0.514
CCOC(=O)C1CCC=C1OC,"2-cyclopentene-1-carboxylic acid, 2-methoxy-, ethyl ester",3.533,2.821,2.274,1.864,1.55,1.307,1.115,0.962,0.838,0.737,0.652
CCOC(OCC)c1ccco1,(diethoxymethyl)furan,6.183,4.809,3.78,3.026,2.464,2.037,1.707,1.448,1.242,1.076,0.939
COC(=O)C1CCCC=C1OC,"2-cyclohexene-1-carboxylic acid, 2-methoxy-, methyl ester",4.753,3.787,3.045,2.489,2.065,1.736,1.477,1.27,1.104,0.969,0.855
COC(=O)C1=C(OC)C(C)CC1,"1-cyclopentene-1-carboxylic acid, 2-methoxy-3-methyl-, methyl ester",2.905,2.325,1.878,1.542,1.285,1.084,0.926,0.8,0.698,0.614,0.544
CCOC(=O)C1=C(OC)CCC1,"1-cyclopentene-1-carboxylic acid, 2-methoxy-, ethyl ester",4.48,3.539,2.824,2.293,1.891,1.582,1.34,1.148,0.994,0.869,0.764
COC(=O)C1=C(OC)CCCC1,"1-cyclohexene-1-carboxylic acid, 2-methoxy-, methyl ester",5.71,4.483,3.558,2.875,2.362,1.969,1.663,1.422,1.229,1.073,0.942
CCOC(=O)Cc1cccs1,ethyl 2-thiopheneacetate,4.192,3.346,2.697,2.209,1.836,1.547,1.319,1.137,0.99,0.87,0.769
CC1(C)COC2(CCCC2)OC1,"6,10-dioxaspiro(4.5)decane, 8,8-dimethyl-",14.166,10.715,8.185,6.379,5.062,4.084,3.345,2.777,2.335,1.986,1.701
