SMILES,name,kv_0C_cSt,kv_10C_cSt,kv_20C_cSt,kv_30C_cSt,kv_40C_cSt,kv_50C_cSt,kv_60C_cSt,kv_70C_cSt,kv_80C_cSt,kv_90C_cSt,kv_100C_cSt
CCCCc1cc2ccccc2c2ccccc12,"phenanthrene, 9-butyl-",50.435,36.806,27.082,20.344,15.575,12.13,9.598,7.705,6.268,5.162,4.28
CC(C)(C)c1cc2ccccc2c2ccccc12,"phenanthrene, 9-(1,1-dimethylethyl)-",265.158,177.925,119.813,82.64,58.297,41.999,30.858,23.091,17.576,13.592,10.588
CC(C)(C)c1ccc2ccc3ccccc3c2c1,"phenanthrene, 3-(1,1-dimethylethyl)-",266.464,178.587,120.143,82.811,58.39,42.053,30.892,23.113,17.591,13.603,10.597
CC(C)(C)c1ccc2c(ccc3ccccc32)c1,"phenanthrene, 2-(1,1-dimethylethyl)-",266.464,178.587,120.143,82.811,58.39,42.053,30.892,23.113,17.591,13.603,10.597
Cc1c(C)c(C)c2cc3ccccc3cc2c1C,"anthracene, 1,2,3,4-tetramethyl-",56.281,40.44,29.289,21.677,16.363,12.576,9.827,7.795,6.27,5.108,4.19
C(=C/c1ccccc1)\CC/C=C/c1ccccc1,"1,6-diphenyl-1,5-hexadiene",50.404,37.472,28.008,21.295,16.455,12.911,10.277,8.291,6.774,5.599,4.659
CCCCc1c2ccccc2cc2ccccc12,9-butylanthracene,390.521,224.126,128.591,76.595,47.192,29.981,19.585,13.123,9.0,6.305,4.446
CC(C)Cc1cc2ccccc2c2ccccc12,9-isobutylphenanthrene,107.066,74.634,52.409,37.683,27.685,20.745,15.827,12.277,9.67,7.724,6.213
CCc1cc2c(ccc3c(C)cccc32)cc1C,"6-ethyl-1,7-dimethylphenanthrene",56.772,40.881,29.675,22.011,16.65,12.823,10.039,7.978,6.429,5.246,4.311
Cc1ccc2ccc3ccc(C)c(C)c3c2c1C,"3,4,5,6-tetramethylphenanthrene",58.103,41.713,30.184,22.32,16.834,12.928,10.093,8.0,6.43,5.234,4.29
CC(C)(C)c1ccc2cc3ccccc3cc2c1,2-(tert-butyl)anthracene,307.554,203.307,135.206,92.412,64.757,46.422,33.979,25.35,19.248,14.853,11.547
Cc1cc(C)c2c(ccc3cc(C)cc(C)c32)c1,"2,4,5,7-tetramethylphenanthrene",57.86,41.504,30.011,22.181,16.723,12.839,10.022,7.943,6.384,5.197,4.26
Cc1cc2c(C)c3ccccc3c(C)c2cc1C,"2,3,9,10-tetramethylanthracene",95.933,62.769,41.707,28.757,20.477,15.001,11.267,8.653,6.777,5.403,4.35
Cc1cccc2c1ccc1cc(C(C)C)ccc12,1-methyl-7-(1-methylethyl)phenanthrene,162.881,111.343,76.673,54.155,39.143,28.893,21.742,16.651,12.96,10.239,8.149
Cc1cc(C(C)C)cc2c1ccc1ccccc12,1-methyl-3-(1-methylethyl)phenanthrene,160.202,109.782,75.774,53.626,38.826,28.701,21.624,16.578,12.915,10.211,8.132
CC(C)Cc1c2ccccc2cc2ccccc12,9-(2-methylpropyl)anthracene,107.991,74.88,52.344,37.511,27.493,20.568,15.677,12.155,9.572,7.647,6.154
CCCCCCCCCCCCCC(F)F,"tetradecane, 1,1-difluoro-",7.261,5.774,4.651,3.818,3.188,2.7,2.316,2.01,1.761,1.558,1.385
CCCCCCCCC(C)c1cccc(O)c1,"phenol, 3-(1-methylnonyl)-",288.132,188.029,123.47,83.459,57.917,41.167,29.909,22.17,16.738,12.853,9.947
CCCCCC(CCCC)c1cccc(O)c1,"phenol, 3-(1-butylhexyl)-",288.132,188.029,123.47,83.459,57.917,41.167,29.909,22.17,16.738,12.853,9.947
CCCCCCC(CCC)c1ccc(O)cc1,"phenol, 4-(1-propylheptyl)-",581.171,364.093,229.024,148.639,99.255,68.026,47.748,34.255,25.075,18.699,14.052
CCCCCCCCCCOc1ccccc1,decyloxybenzene,17.13,11.45,7.932,5.79,4.409,3.476,2.819,2.342,1.983,1.708,1.486
CCCCCCCC(CC)c1ccccc1O,"phenol, o-(1-ethyloctyl)-",605.752,378.841,237.887,154.144,102.782,70.349,49.316,35.34,25.841,19.25,14.452
CCCCCCC(CCC)c1ccccc1O,"phenol, o-(1-propylheptyl)-",605.752,378.841,237.887,154.144,102.782,70.349,49.316,35.34,25.841,19.25,14.452
CCCCCC(CCCC)c1ccccc1O,"phenol, o-(1-butylhexyl)-",605.752,378.841,237.887,154.144,102.782,70.349,49.316,35.34,25.841,19.25,14.452
CCCCCC(CCCC)c1ccc(O)cc1,4-(5-decyl)phenol,581.171,364.093,229.024,148.639,99.255,68.026,47.748,34.255,25.075,18.699,14.052
CCCCCCCCc1ccc(C(C)O)cc1,1-(p-octylphenyl)ethanol,273.888,177.857,116.47,78.714,54.725,39.03,28.485,21.229,16.125,12.462,9.712
CCCCCCCC(CC)c1ccc(O)cc1,4-(1-ethyloctyl)phenol,561.512,349.541,218.732,141.48,94.293,64.573,45.327,32.542,23.85,17.813,13.411
CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1,"2,4-bis(1,1-dimethylpropyl)phenol",716.182,442.757,275.343,177.237,117.684,80.362,56.288,40.346,29.533,22.037,16.58
CCC(C)(C)c1cccc(C(C)(C)CC)c1O,"2,6-bis(1,1-dimethylpropyl)phenol",792.567,495.196,310.638,201.095,133.97,91.618,64.176,45.954,33.578,24.997,18.754
CCCCCCCCC(C)c1ccc(O)cc1,4-(1-methylnonyl)phenol,581.171,364.093,229.024,148.639,99.255,68.026,47.748,34.255,25.075,18.699,14.052
CCCCCCCC(CC)c1cccc(O)c1,3-(1-ethyloctyl)phenol,288.132,188.029,123.47,83.459,57.917,41.167,29.909,22.17,16.738,12.853,9.947
CCCCCCC(CCC)c1cccc(O)c1,3-(1-propylheptyl)phenol,288.132,188.029,123.47,83.459,57.917,41.167,29.909,22.17,16.738,12.853,9.947
CCCCCCC(Cc1ccccc1)OCC,2-ethoxy-1-phenyloctane,11.892,9.259,7.25,5.76,4.641,3.79,3.133,2.621,2.217,1.895,1.63
CCCCCCCCCSCC(O)CO,"(.+-.)-3-(nonylthio)-1,2-propanediol",2007.689,1134.902,642.755,379.565,232.724,147.604,96.527,64.903,44.755,31.581,22.473
CCCCC1=C(CCC)C2CCCCC2CC1,"1,2,4a,5,6,7,8,8a-octahydro-3-butyl-4-propylnaphthalene",6.815,5.347,4.252,3.452,2.852,2.394,2.036,1.753,1.525,1.339,1.183
C1CCC(C2(C3CCCC3)CCCCC2)CC1,cyclopentylbicyclohexyl,38.947,29.509,22.542,17.535,13.869,11.137,9.069,7.48,6.244,5.269,4.475
CCCCCCSSCCCCCC,di-n-hexyl disulfide,4.826,3.797,3.063,2.546,2.167,1.88,1.656,1.477,1.331,1.209,1.104
CC(Oc1ccc(Cl)cc1Cl)C(=O)O,"2-(2,4-dichlorophenoxy)propanoic acid",5777.781,2294.955,938.516,434.967,223.247,124.595,74.523,47.218,31.396,21.741,15.374
COC(=O)COc1ccc(Cl)cc1Cl,"methyl 2,4-dichlorophenoxyethanoate",20.953,15.218,11.163,8.377,6.416,5.007,3.974,3.202,2.617,2.166,1.807
COC(=O)c1c(Cl)ccc(Cl)c1OC,"methyl 3,6-dichloro-2-methoxybenzoate",21.238,15.345,11.19,8.346,6.353,4.927,3.886,3.112,2.528,2.08,1.724
ClC1(Cl)c2ccccc2-c2ccccc21,"9,9-Dichloro-9H-fluorene",26.923,19.952,14.988,11.537,9.071,7.267,5.919,4.892,4.097,3.471,2.962
O=C(Oc1ccc([N+](=O)[O-])cc1)C(F)(F)F,4-nitrophenyl trifluoroethanoate,32.481,22.432,15.631,11.18,8.188,6.127,4.674,3.63,2.866,2.296,1.854
CCCCCCCCCCCBr,1-bromoundecane,5.194,3.91,3.038,2.453,2.042,1.742,1.515,1.338,1.198,1.083,0.986
C#CCOC(C)c1ccc(OC)c([N+](=O)[O-])c1,"benzene, 1-methoxy-2-nitro-4-[1-(2-propynyloxy)ethyl]-",241.027,157.717,103.982,70.628,49.28,35.232,25.751,19.203,14.585,11.265,8.77
CC(=O)Nc1c2ccccc2cc2ccccc12,"acetamide, N-9-anthryl-",452.395,304.199,206.075,143.412,102.265,74.556,55.462,42.023,32.382,25.341,19.98
CC1=C(C(=O)Nc2ccccc2)SCCO1,"5,6-dihydro-2-methyl-N-phenyl-1,4-oxathiin-3-carboxamide",229.249,162.089,115.034,83.238,61.352,46.017,35.087,27.168,21.343,16.996,13.624
CCCCCCCOC(=O)c1ccc(N)cc1,heptyl 4-aminobenzoate,213.523,139.578,92.085,62.699,43.913,31.547,23.189,17.403,13.309,10.354,8.124
CCCCc1ccc(-c2ccc(C#N)cc2)cc1,4'-n-butyl-4-cyanobiphenyl,212.028,103.468,53.451,30.877,19.504,13.239,9.525,7.185,5.633,4.558,3.765
Fc1c(F)c(Cl)c(Cl)c(Cl)c1F,"benzene, 1,2,3-trichloro-4,5,6-trifluoro-",4.341,3.359,2.624,2.089,1.691,1.391,1.159,0.978,0.836,0.721,0.627
Fc1c(Cl)c(F)c(Cl)c(F)c1Cl,"1,3,5-trichloro-2,4,6-trifluorobenzene",4.982,3.764,2.88,2.255,1.801,1.465,1.211,1.016,0.863,0.742,0.643
Fc1c(F)c(Cl)c(Cl)c(F)c1Cl,"1,2,4-trichloro-3,5,6-trifluorobenzene",4.341,3.359,2.624,2.089,1.691,1.391,1.159,0.978,0.836,0.721,0.627
O=C(O)c1cc(Br)ccc1Cl,5-bromo-2-chlorobenzoic acid,33.547,24.274,17.702,13.186,10.016,7.746,6.09,4.861,3.935,3.226,2.664
ClC(Cl)(Cl)CC=Cc1ccccc1,"1-phenyl-4,4,4-trichloro-1-butene",15.278,11.717,9.076,7.165,5.753,4.691,3.879,3.249,2.752,2.356,2.03
FC(Cl)(Cl)C(F)(F)C(Cl)Cl,"1,1,3,3-tetrachloro-1,2,2-trifluoropropane",2.214,1.793,1.469,1.223,1.034,0.887,0.769,0.675,0.598,0.535,0.482
Brc1ccccc1Br,"1,2-dibromobenzene",6.146,4.677,3.595,2.818,2.248,1.823,1.5,1.251,1.056,0.901,0.774
Brc1cccc(Br)c1,"1,3-dibromobenzene",5.517,4.225,3.268,2.577,2.067,1.684,1.392,1.165,0.987,0.845,0.728
Brc1ccc(Br)cc1,"1,4-dibromobenzene",0.786,0.781,0.766,0.742,0.711,0.677,0.641,0.604,0.568,0.532,0.498
FC(C(F)(F)F)C(F)(F)OC(F)(F)F,"3-(trifluoromethoxy)-1,1,1,2,3,3-hexafluoropropane",0.283,0.258,0.237,0.22,0.206,0.194,0.185,0.178,0.173,0.171,0.172
Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,octafluorotoluene,0.852,0.732,0.632,0.552,0.486,0.432,0.386,0.348,0.316,0.288,0.264
O=[N+]([O-])C1([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,"1,1,3,3-tetranitrocyclobutane",2547.607,885.504,321.977,138.629,68.384,37.659,22.683,14.702,10.12,7.322,5.462
C=CC(I)=CC(C)(C)C,"5,5-dimethyl-3-iodo-1,3-hexadiene",3.461,2.788,2.267,1.872,1.568,1.33,1.142,0.991,0.868,0.767,0.682
FC(c1ccccc1)C(F)(F)c1ccccc1,"1,1'-(1,1,2-trifluoro-1,2-ethanediyl)bis-benzene",18.997,13.986,10.446,8.005,6.275,5.017,4.083,3.376,2.83,2.403,2.056
FC(F)(F)C(c1ccccc1)c1ccccc1,"1,1'-(2,2,2-trifluoroethylidene)bis-benzene",12.161,9.426,7.372,5.868,4.744,3.892,3.235,2.721,2.315,1.989,1.72
NC(=O)N1c2ccccc2C=Cc2ccccc21,carbamazepine,2159.875,1405.761,916.798,613.3,420.165,294.34,210.523,153.521,113.99,86.071,65.449
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,"5-(1-cyclohexen-1-yl)-1,5-dimethyl-2,4,6-(1H,3H,5H)-pyrimidinetrione",9607.141,5088.971,2723.762,1545.547,922.573,575.592,373.321,250.561,173.35,123.217,88.654
O=C(/C=C/C(=O)c1ccccc1)c1ccccc1,"trans-1,2-dibenzoylethylene",74.924,53.931,39.198,29.159,22.149,17.145,13.501,10.798,8.76,7.199,5.959
CCOC(=O)C(C(=O)OCC)c1ccccc1,diethyl phenylmalonate,30.183,21.998,16.19,12.186,9.359,7.321,5.822,4.7,3.847,3.189,2.662
CCc1ccc2c(c1)C(=O)c1ccccc1C2=O,"2-ethyl-9,10-anthracenedione",91.411,65.135,46.763,34.318,25.693,19.591,15.19,11.961,9.552,7.728,6.295
O=C(Cl)C(Br)Br,dibromoacetyl chloride,4.768,3.697,2.897,2.314,1.879,1.549,1.295,1.096,0.938,0.811,0.706
CCCCCCCOC(=O)c1ccccc1O,heptyl 2-hydroxybenzoate,490.118,312.879,199.961,131.291,88.429,61.004,43.04,31.008,22.782,17.045,12.853
CCN(CC)CCOC(=O)c1ccc(N)cc1,"benzoic acid, p-amino-, 2-(diethylamino) ethyl ester",309.342,199.519,129.468,86.567,59.476,41.885,30.17,22.183,16.622,12.673,9.738
CC(=O)OCCOc1ccc(C(C)(C)C)cc1,2-(4-tert-butylphenoxy)ethyl acetate,100.579,68.14,46.335,32.256,22.959,16.687,12.368,9.336,7.168,5.592,4.396
CCCCCCCOc1ccc(C(=O)O)cc1,4-heptyloxybenzoic acid,1696.383,918.332,501.355,288.853,174.497,109.922,71.869,48.573,33.817,24.179,17.503
ClCC(Br)CBr,"1,2-dibromo-3-chloropropane",2.423,1.974,1.639,1.392,1.203,1.055,0.936,0.838,0.756,0.686,0.626
c1ccc(-c2cscc2-c2ccccc2)cc1,"3,4-diphenylthiophene",271.153,137.371,73.187,43.097,27.513,18.753,13.485,10.132,7.893,6.336,5.186
CCCCOC(OCCCC)c1ccccc1,(dibutoxymethyl)benzene,11.628,9.048,7.101,5.668,4.595,3.779,3.149,2.655,2.264,1.95,1.691
COc1cc(C(C)(C)CC(C)(C)C)ccc1O,"phenol, 2-methoxy-4-(1,1,3,3-tetramethylbutyl)-",618.183,378.937,233.071,148.185,97.103,65.408,45.182,31.942,23.066,16.986,12.609
CCC1c2ccccc2C(CC)c2ccccc21,"9,10-diethyl-9,10-dihydroanthracene",48.132,35.594,26.482,20.06,15.455,12.097,9.609,7.738,6.312,5.211,4.33
CC1(c2ccccc2)CCC1(C)c1ccccc1,"cis-1,2-dimethyl-1,2-diphenylcyclobutane",91.644,65.762,47.449,34.925,26.194,19.993,15.512,12.221,9.766,7.909,6.45
CCC[C@@H]1C[C@H](c2ccccc2)c2ccccc21,cis-1-propyl-3-phenylindane,39.559,29.562,22.228,17.007,13.228,10.447,8.37,6.796,5.587,4.646,3.89
CCC1c2ccccc2C(c2ccccc2)C1C,"indan, 1-ethyl-2-methyl-3-phenyl-",28.346,21.466,16.332,12.618,9.894,7.868,6.342,5.176,4.276,3.571,3.002
c1cc2ccc1CCCc1ccc(cc1)CCC2,"tricyclo[10.2.2.2(5,8)]octadeca-5,7,12,14,15,17-hexaene",71.549,52.321,38.624,29.145,22.435,17.586,14.015,11.339,9.302,7.728,6.468
CCC[C@@H]1C[C@@H](c2ccccc2)c2ccccc21,trans-1-propyl-3-phenylindane,39.559,29.562,22.228,17.007,13.228,10.447,8.37,6.796,5.587,4.646,3.89
c1ccc(CCc2ccc3c(c2)CCCC3)cc1,"6-(2-phenylethyl)-1,2,3,4-tetrahydronaphthalene",54.87,40.591,30.277,23.035,17.844,14.053,11.235,9.108,7.478,6.212,5.195
CC(C)(C)C=C(c1ccccc1)c1ccccc1,"benzene, 1,1'-(3,3-dimethyl-1-butenylidene)bis-",129.727,90.393,63.198,45.106,32.834,24.354,18.386,14.114,11.005,8.707,6.94
CCCCCC1c2ccccc2-c2ccccc21,9-pentyl-9H-fluorene,45.907,33.918,25.21,19.078,14.684,11.483,9.113,7.333,5.977,4.93,4.093
CC(C)CC=C(c1ccccc1)c1ccccc1,"4-methyl-1,1-diphenyl-1-pentene",77.864,55.672,40.069,29.457,22.085,16.862,13.093,10.325,8.261,6.698,5.47
CCCCC=C(c1ccccc1)c1ccccc1,"1,1-diphenyl-1-hexene",29.323,22.157,16.864,13.064,10.287,8.225,6.669,5.479,4.556,3.83,3.242
CCC/C(=C/c1ccccc1)Cc1ccccc1,2-benzyl-1-phenyl-1-pentene,37.569,28.181,21.28,16.354,12.777,10.137,8.158,6.652,5.492,4.586,3.855
c1ccc(C2CCCCC2c2ccccc2)cc1,"1,2-diphenylcyclohexane",219.917,143.698,95.031,65.028,45.869,33.244,24.687,18.738,14.506,11.432,9.098
CCC(CC=Cc1ccccc1)c1ccccc1,"1,4-diphenyl-1-hexene",77.055,55.454,40.083,29.52,22.133,16.878,13.079,10.288,8.208,6.635,5.401
c1ccc(C2CCC(c3ccccc3)CC2)cc1,"1,4-diphenylcyclohexane",209.658,135.684,88.949,60.446,42.406,30.607,22.658,17.159,13.264,10.445,8.309
CC1(c2ccccc2)CC(C)(c2ccccc2)C1,"1,3-dimethyl-1,3-diphenylcyclobutane",69.199,49.536,35.753,26.382,19.863,15.234,11.882,9.413,7.563,6.158,5.05
C1=C(CCc2cccc3ccccc23)CCCC1,1-[2-(1-cyclohexenyl)ethyl]naphthalene,60.542,44.62,33.143,25.107,19.368,15.193,12.101,9.777,8.002,6.629,5.529
CC1(C)CC(C)(c2ccccc2)c2ccccc21,"2,3-dihydro-1,1,3-trimethyl-3-phenyl-1H-indene",23.861,18.678,14.634,11.581,9.262,7.488,6.12,5.054,4.218,3.555,3.013
C/C(=C\CC(C)c1ccccc1)c1ccccc1,"2,5-diphenyl-2-hexene",58.53,42.592,31.134,23.173,17.548,13.508,10.561,8.379,6.739,5.491,4.504
C(=C/CCc1ccccc1)\CCc1ccccc1,"1,6-diphenyl-3-hexene",40.106,29.845,22.395,17.136,13.346,10.565,8.489,6.914,5.702,4.758,3.996
CCCCCCCCCSc1ccccc1,nonyl phenyl sulfide,10.353,7.488,5.575,4.317,3.452,2.834,2.377,2.031,1.761,1.547,1.37
CCC#CCCCCCCCCCCCCC,3-heptadecyne,20.894,15.574,11.708,8.978,7.009,5.562,4.48,3.659,3.026,2.533,2.134
CCCCCCCCCCCCC1CC=CC1,4-dodecylcyclopentene,8.388,6.289,4.839,3.849,3.145,2.627,2.233,1.927,1.683,1.485,1.319
CCCCC1CCC2CCCCC2C1CCC,3-butyl-2-propylbicyclo[4.4.0]decane,3.59,2.979,2.498,2.128,1.838,1.608,1.421,1.268,1.14,1.033,0.941
CCCCC(C1CCCCC1)C1CCCCC1,"cyclohexane, 1,1'-pentylidenebis-",172.886,77.426,37.156,20.456,12.555,8.402,6.024,4.564,3.616,2.969,2.497
CCC1(CC2(CC)CCCCC2)CCCCC1,"methane, bis(ethylcyclohexyl)-",16.323,13.031,10.447,8.472,6.95,5.765,4.833,4.093,3.5,3.02,2.62
CCC(CC1CCCCC1)CC1CCCCC1,"cyclohexane, 1,1'-(2-ethyl-1,3-propanediyl)bis-",71.421,37.02,20.513,12.698,8.578,6.209,4.748,3.793,3.138,2.67,2.315
CC#CCCCCCCCCCCCCCC,2-heptadecyne,20.894,15.574,11.708,8.978,7.009,5.562,4.48,3.659,3.026,2.533,2.134
CCCCCCCCCCCCC1C=CCC1,3-dodecylcyclopentene,8.482,6.447,5.016,4.023,3.308,2.775,2.368,2.048,1.792,1.583,1.408
CCCCCCCCCCCC1=CCCCC1,1-undecylcyclohexene,8.843,6.964,5.559,4.529,3.754,3.16,2.695,2.326,2.029,1.786,1.581
CCCCC(C)(C)C1CCCC2CCCCC21,"2-(1,1-dimethylpentyl)bicyclo[4.4.0]decane",20.563,15.778,12.187,9.566,7.624,6.163,5.048,4.187,3.512,2.979,2.542
C#CCCCCCCCCCCCCCCC,1-heptadecyne,33.649,25.047,18.781,14.349,11.155,8.814,7.069,5.748,4.734,3.946,3.311
CCCCCCCCCCCCC1=CCCC1,1-dodecylcyclopentene,13.709,9.774,7.207,5.552,4.429,3.634,3.049,2.605,2.26,1.984,1.756
C1CCC(CCCCCC2CCCCC2)CC1,"1,5-dicyclohexylpentane",38.683,23.991,15.58,10.841,7.973,6.133,4.891,4.019,3.384,2.906,2.53
CCCC(CC1CCCCC1)C1CCCCC1,"1,2-dicyclohexylpentane",37.365,23.166,15.046,10.473,7.706,5.928,4.728,3.883,3.266,2.802,2.435
CC(C)CC(C1CCCCC1)C1CCCCC1,"1,1-dicyclohexyl-3-methylbutane",17.511,13.408,10.444,8.34,6.803,5.65,4.765,4.074,3.524,3.08,2.709
CC(Cl)C(Cl)(Cl)C(O)C[N+](=O)[O-],"3,3,4-trichloro-1-nitro-2-pentanol",12746.275,6442.243,3240.805,1717.219,953.092,551.419,331.167,205.704,131.73,86.725,57.539
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,octamethyltrisiloxane,1.393,1.214,1.067,0.948,0.851,0.769,0.7,0.641,0.589,0.544,0.503
ClC(Cl)(Cl)C(Cl)(Cl)Cl,hexachloroethane,2.51,2.133,1.826,1.58,1.381,1.219,1.084,0.972,0.878,0.797,0.728
O=[N+]([O-])c1cc(Cl)c(Cl)c([N+](=O)[O-])c1,"1,2-dichloro-4,6-dinitrobenzene",30.558,22.09,16.112,12.017,9.144,7.086,5.584,4.467,3.624,2.977,2.463
COc1c(Cl)cc(O)c(Cl)c1C(=O)O,"2,5-dichloro-3-hydroxy-6-methoxybenzoic acid",12221.479,5423.35,2436.403,1195.695,631.931,355.601,211.12,131.263,84.947,56.932,38.731
Clc1ccc2oc3ccc(Cl)cc3c2c1,"dibenzofuran, 2,8-dichloro-",25.05,18.694,14.075,10.808,8.449,6.714,5.414,4.427,3.664,3.068,2.586
Clc1ccc2c(c1)oc1c(Cl)cccc12,"3,6-dichlorodibenzofuran",104.236,60.442,36.13,23.023,15.476,10.881,7.947,5.996,4.651,3.695,2.979
CC(C)(C)N1CC(Br)([N+](=O)[O-])C1,"3-bromo-1-(1,1-dimethylethyl)-3-nitro-azetidine",57.976,39.09,26.726,18.883,13.733,10.246,7.82,6.091,4.831,3.895,3.169
ClC(Cl)(c1ccccc1)c1ccccc1,dichlorodiphenylmethane,46.616,33.876,24.842,18.622,14.241,11.089,8.778,7.054,5.747,4.742,3.94
CCOC(=O)CC(=O)c1ccccc1[N+](=O)[O-],3-(2-nitrophenyl)-3-oxopropanoic acid ethyl ester,108.856,74.35,51.219,36.239,26.267,19.459,14.704,11.314,8.85,7.028,5.624
CCOC(=O)CC(=O)c1cccc([N+](=O)[O-])c1,"3-(3-nitrophenyl)-3-oxopropanoic acid, ethyl ester",115.318,78.582,54.007,38.128,27.58,20.393,15.383,11.816,9.229,7.318,5.848
CCOC(=O)C=C(O)c1ccccc1[N+](=O)[O-],3-hydroxy-3-(2-nitrophenyl)-2-propenoic acid ethyl ester,1148.841,691.035,417.737,261.983,169.821,113.409,77.806,54.701,39.322,28.847,21.338
CCOC(=O)C=C(O)c1cccc([N+](=O)[O-])c1,3-hydroxy-3-(3-nitrophenyl)-2-propenoic acid ethyl ester,1148.841,691.035,417.737,261.983,169.821,113.409,77.806,54.701,39.322,28.847,21.338
CCOC(=O)C=C(O)c1ccc([N+](=O)[O-])cc1,"3-hydroxy-3-(4-nitrophenyl)-2-propenoic acid, ethyl ester",1192.789,716.628,432.656,270.998,175.45,117.03,80.199,56.322,40.446,29.642,21.904
CNc1cccc2c1C(=O)c1ccccc1C2=O,1-(methylamino)anthraquinone,957.249,615.467,395.714,260.832,176.042,121.503,85.646,61.576,45.098,33.607,25.218
Cc1cccc2c([N+](=O)[O-])c3ccccc3cc12,1-methyl-10-nitroanthracene,660.264,274.153,119.353,59.348,32.864,19.866,12.903,8.892,6.435,4.851,3.751
Cc1c2ccccc2c([N+](=O)[O-])c2ccccc12,9-methyl-10-nitroanthracene,792.991,320.865,136.076,66.231,36.038,21.473,13.783,9.405,6.752,5.055,3.886
Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,"anthraquinone, 1-amino-2-methyl-",1452.333,899.207,558.573,358.102,236.268,160.025,111.015,78.727,56.969,41.998,31.187
CCCOc1ccc(-c2ccc(C#N)cc2)cc1,4'-propoxy-4-cyanobiphenyl,63.003,42.242,28.996,20.739,15.352,11.701,9.143,7.3,5.937,4.908,4.098
FC(F)(F)C(Cl)(Cl)C(F)(F)Cl,"1,2,2-trichloro-1,1,3,3,3-pentafluoropropane",0.767,0.666,0.584,0.519,0.467,0.424,0.388,0.359,0.334,0.313,0.295
FC(F)(Cl)C(F)(F)C(F)(Cl)Cl,"1,1,3-trichloro-1,2,2,3,3-pentafluoropropane",0.789,0.686,0.602,0.534,0.479,0.434,0.397,0.365,0.339,0.316,0.297
FC(F)(Cl)C(F)(Cl)C(F)(F)Cl,"1,2,3-trichloro-1,1,2,3,3-pentafluoropropane",0.804,0.698,0.611,0.542,0.486,0.44,0.402,0.371,0.344,0.321,0.302
FC(F)(F)C(F)(F)C(Cl)(Cl)Cl,"1,1,1-trichloro-2,2,3,3,3-pentafluoropropane",0.752,0.654,0.573,0.509,0.457,0.414,0.378,0.348,0.323,0.302,0.283
CCCCCCCCCCCCCCCC#N,hexadecanenitrile,13.197,9.804,7.458,5.859,4.726,3.896,3.272,2.791,2.412,2.109,1.858
CCCCCCC(CC#N)(CCC)CCCC,3-butyl-3-propylnonanenitrile,37.19,27.347,20.281,15.354,11.843,9.293,7.407,5.988,4.906,4.068,3.396
ClCCCCCCC(Cl)(Cl)Cl,"heptane, 1,1,1,7-tetrachloro-",6.25,5.602,4.965,4.368,3.829,3.351,2.934,2.574,2.264,1.999,1.768
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,decafluorobutane,0.188,0.169,0.153,0.139,0.126,0.115,0.105,0.095,0.086,0.078,0.069
O=C(I)C1CCCCC1,cyclohexanecarboxylic acid iodide,16.439,12.398,9.432,7.313,5.771,4.628,3.766,3.107,2.596,2.193,1.866
O=[N+]([O-])CCCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],"1,1,1,4-tetranitrobutane",514.459,321.053,202.66,132.93,90.191,63.052,45.268,33.281,24.996,19.136,14.789
CCCCCCC=CI,(Z)-1-iodo-1-octene,6.676,5.138,3.993,3.161,2.545,2.081,1.726,1.449,1.232,1.058,0.915
O=C1OC(C(O)C(O)C(O)CO)C(O)C1O,"alpha, beta-Glucooctanoic gamma-lactone",12176.593,6980.319,4022.162,2418.944,1511.262,976.889,651.067,446.025,313.255,225.023,163.113
O=c1ccc(=O)c2c(=O)c3ccccc3c(=O)c1=2,"1,4,9,10-anthracenetetrone",779.508,411.785,223.632,130.679,81.14,53.011,36.157,25.585,18.687,14.029,10.692
COC(=O)C=Cc1cc(OC)c(O)c(OC)c1,"3,5-dimethoxy-4-hydroxy cinnamic acid methyl ester",1736.942,985.726,562.694,335.959,208.743,134.393,89.322,61.09,42.873,30.799,22.341
COc1c2c(cc3ccccc13)C(=O)C=CC2=O,"1,4-anthracenedione, 9-methoxy-",1557.158,941.061,570.785,358.442,232.289,154.9,106.017,74.305,53.224,38.892,28.646
O=C(C=C(S)c1cccs1)C(F)(F)F,"3-buten-2-one, 1,1,1-trifluoro-4-mercapto-4-(2-thienyl)-",37.459,26.481,18.893,13.812,10.323,7.871,6.112,4.825,3.868,3.144,2.575
CCc1c(C)c(C)c([N+](=O)[O-])c([N+](=O)[O-])c1C,"2-ethyl-1,3,4-trimethyl-5,6-dinitrobenzene",27.557,19.783,14.36,10.685,8.128,6.307,4.983,4.001,3.26,2.692,2.24
CCC(CC)(c1ccc([N+](=O)[O-])cc1)[N+](=O)[O-],3-nitro-3-(p-nitrophenyl)-pentane,450.609,286.932,183.687,121.248,82.29,57.281,40.804,29.689,22.024,16.632,12.658
