SMILES,name,search_name,priority,density_40C_g_cm3,density_100C_g_cm3,kv_40C_cSt,kv_100C_cSt,tc_40C_W_mK,tc_100C_W_mK,cp_40C_J_K_mol,cp_100C_J_K_mol,cpsat_40C_J_K_mol,cpsat_100C_J_K_mol,mp_K,bp_K,fp_K,exact_temp_40C_K,exact_temp_100C_K,notes,MolWt,FOM1_ig_40,FOM1_ig_100,FOM1_sat_40,FOM1_sat_100
CCCC=CC(=O)CC(C)C,2-methyl-5-nonen-4-one,"3-decenoic acid, (Z)-",0,0.8985,0.854,5.899,2.108,0.166,0.155,248.0,284.0,,,,,,313.15,373.15,wtt_bulk_complete,154.253,59.68574032833555,78.83964248054245,,
,"3-hydroxy-2,6,6-trimethyl-3-hepten-5-one","3-hydroxy-2,6,6-trimethyl-3-hepten-5-one",0,1.037,0.99,34.716,5.96,0.151,0.141,258.0,296.0,,,,570.0,,313.15,373.15,wtt_bulk_complete,170.25199999999998,33.824337180926406,54.94172619735922,,
CCCCCCC=CC(=O)OC,"2-nonenoic acid, methyl ester","2-nonenoic acid, methyl ester",0,0.8976,0.8467,1.939,0.92,0.152,0.141,245.0,282.0,348.0,375.0,,492.0,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,77.12004810102754,93.752931844226,85.12186171049945,101.57919793196557
CC1(C)COC2(CCCC2)OC1,"6,10-dioxaspiro(4.5)decane, 8,8-dimethyl-","6,10-dioxaspiro(4.5)decane, 8,8-dimethyl-",0,0.965,0.915,5.078,1.705,0.129,0.121,219.0,260.0,270.0,314.0,,478.4,,313.15,373.15,wtt_bulk_complete+cpsat2,170.25199999999998,50.40300992849725,68.66981110113741,53.46039575813122,72.41360353990507
,2-(2-methylpropyl)-2-butenoic acid ethyl ester,2-(2-methylpropyl)-2-butenoic acid ethyl ester,0,1.08,1.03,8.704,2.136,0.138,0.128,264.0,304.0,,,,533.0,,313.15,373.15,wtt_bulk_complete,186.251,46.723238593717674,68.37776301172049,,
,2-butyl-2-butenoic acid ethyl ester,2-butyl-2-butenoic acid ethyl ester,0,1.1,1.05,6.364,1.81,0.145,0.134,265.0,303.0,,,,539.0,,313.15,373.15,wtt_bulk_complete,186.251,52.92885828599689,73.96778648544604,,
,2-(2-methylpropyl)-3-oxobutanoic acid ethyl ester,2-(2-methylpropyl)-3-oxobutanoic acid ethyl ester,0,1.04,0.984,3.077,1.128,0.162,0.151,262.0,302.0,373.0,402.0,,510.0,,313.15,373.15,wtt_bulk_complete+cpsat2,186.251,72.36506139088475,94.95869569018949,79.9249689117085,102.91473886142629
CCCCC(=O)OC(=O)CCCC,valeric anhydride,valeric anhydride,0,0.9273,0.8778,2.588,1.094,0.173,0.161,263.0,300.0,376.0,401.0,217.09,513.0,,313.15,373.15,wtt_bulk_complete+cpsat2,186.251,77.01409076939304,96.69502927285826,85.16026049424212,104.91907481217804
CCC(C(=O)O)C(CC)(CC)C(=O)O,Triethylbutanedioic acid,Triethylbutanedioic acid,0,,,,,,,274.0,315.0,,,391.1,587.0,,313.15,373.15,wtt_bulk_partial_2of8,202.25,,,,
,"2-butyl-3-hydroxy-2-butanoic acid, ethyl ester","2-butyl-3-hydroxy-2-butanoic acid, ethyl ester",0,1.1,1.05,6.364,1.81,0.145,0.134,265.0,303.0,,,,539.0,,313.15,373.15,wtt_bulk_complete,186.251,52.92885828599689,73.96778648544604,,
,"2-butyl-3-hydroxy-2-butenoic acid, ethyl ester","2-butyl-3-hydroxy-2-butenoic acid, ethyl ester",0,1.075,1.02,6.512,1.863,0.145,0.134,265.0,303.0,,,,539.0,,313.15,373.15,wtt_bulk_complete,186.251,54.01665999871398,75.36340147874094,,
,2-butyl-3-oxobutanoic acid ethyl ester,2-butyl-3-oxobutanoic acid ethyl ester,0,1.07,1.02,3.364,1.206,0.168,0.157,263.0,301.0,376.0,403.0,,517.0,,313.15,373.15,wtt_bulk_complete+cpsat2,186.251,70.243528524075,92.74241769699918,77.67354165170909,100.6769308555299
,2-ethyl-3-hydroxy-2-hexenoic acid ethyl ester,2-ethyl-3-hydroxy-2-hexenoic acid ethyl ester,0,1.1,1.04,6.091,1.731,0.144,0.133,265.0,303.0,,,,536.0,,313.15,373.15,wtt_bulk_complete,186.251,56.12580001538342,78.42062164839729,,
