SMILES,prop,XGBoost,MLP,D-MPNN,Uni-Mol,consensus_mean,consensus_sd
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,bp,313.3823669433594,296.2656556725222,300.795647369368,291.52222900390626,300.491474747289,9.390998148095212
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,cpsat,566.054833984375,563.0682282746836,562.7081331230986,567.9470947265625,564.94457252718,2.501342907527965
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,dc,5.604334354400635,6.329417196889937,6.353470527464841,5.767271423339844,6.013623375523814,0.38446005923991183
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,density,1.0511858224868775,1.0598396512029802,1.023392481067057,1.0212464809417725,1.0389161089246717,0.01950674470780562
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,fom1,63.26206182782803,59.62567414900347,64.126987690101,67.8615287655571,63.7190631081224,3.3808828989104667
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,fp,538.5919616699218,447.0826527938401,488.3251218794132,593.2270812988281,516.8067044105007,63.21211739039457
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,mp,-35.8468620300293,-24.887773942845048,-27.6187691307617,-40.088470458984375,-32.110468890655106,7.069932384362533
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,tc,0.18202853500843047,0.17701740739858868,0.17825508408705906,0.17915747165679927,0.17911462453771937,0.002131497096871749
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,viscosity,6.864655894519425,8.897843155733234,6.857829245069665,5.717167260325818,7.084373888912035,1.3238231528000868
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,beta,0.0007584254839457,0.00074826920656614,0.00076012503669264,0.0007807002868502799,0.0007618800035136899,1.3594980353125093e-05
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,bp,301.3756103515625,294.57891736424807,301.4090658031629,287.55369262695314,296.2293215364817,6.615749142362648
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,cpsat,569.2546997070312,560.2432401908036,564.0647031179053,554.3020751953125,561.9661795527632,6.30431975816354
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,dc,6.243620681762695,7.875783138974782,9.537031034778037,9.800399589538575,8.364208611263521,1.6506170131097642
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,density,1.0807240962982179,1.0740779114071057,1.0844466624822182,1.0709929466247559,1.0775604042030744,0.0061288594881630095
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,fom1,62.01149749903211,51.95696695814555,62.6781084038869,61.34174883776552,59.49708042470752,5.056261625309757
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,fp,494.32127075195314,431.45350399155086,438.38400112570116,450.1001220703125,453.56472448487943,28.23980622527733
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,mp,-32.705759811401364,-24.62702010632136,7.554237230263344,-7.216933107376098,-14.24886894870887,18.010981858260365
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,tc,0.17929489314556118,0.1846452286116269,0.1933580474653157,0.1832004219293594,0.1851246477879658,0.005935974992624624
CCCC(=O)OCC(OC(=O)CCC)C(=O)COC(C)C,viscosity,8.805209870607491,10.731367627980296,9.849500847528423,7.409524490232178,9.198900709087098,1.4292882991834537
CCCCCOCCOCCOC,beta,0.0009542600484564401,0.0009323725584685,0.000914802373042,0.0009245864115654801,0.0009315053478831051,1.6786795412778996e-05
CCCCCOCCOCCOC,bp,231.39244384765624,227.94917906265295,258.3510717009591,227.58207092285156,236.31869138352997,14.788181889601319
